,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0
1,0.0001,0.00018749062499934244,0.00014999249999936293,0.9996337890625,0.0003662109375
2,0.00025,0.0004686914062497216,0.0003749531249997995,0.99951171875,0.00048828125
3,0.0005,0.0009372656250017375,0.00074981250000139,0.998779296875,0.001220703125
4,0.00075,0.0014057226562500524,0.0011245781249999975,0.9991455078125,0.0008544921875
5,0.001,0.0018740624999991073,0.0014992499999992859,0.998779296875,0.001220703125
6,0.0025,0.004681640624998318,0.0037453124999986542,0.995849609375,0.004150390625
7,0.005,0.009351562500000465,0.007481250000000328,0.9930419921875,0.0069580078125
8,0.0075,0.014009765625000226,0.011207812500000136,0.9896240234375,0.0103759765625
9,0.01,0.018656250000000152,0.014925000000000188,0.986083984375,0.013916015625
10,0.025,0.046289062499999534,0.03703124999999974,0.9639892578125,0.0360107421875
11,0.05,0.09140625000000169,0.07312500000000133,0.9261474609375,0.0738525390625
12,0.075,0.1353515624999988,0.108281249999999,0.8897705078125,0.1102294921875
13,0.1,0.17812499999999887,0.14249999999999896,0.8604736328125,0.1395263671875
