,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-1.3322676295501878e-15,-1.1102230246251565e-15,1.0,0.0
1,0.0001,0.0003999300039992937,0.00031994400319956817,1.0,0.0
2,0.00025,0.0009995625624994453,0.0007996500499996007,0.999267578125,0.000732421875
3,0.0005,0.0019982504999989104,0.0015986003999991505,0.9990234375,0.0009765625
4,0.00075,0.0029960641874986482,0.0023968513499988964,0.9970703125,0.0029296875
5,0.001,0.003993003999997802,0.003194403199998197,0.9976806640625,0.0023193359375
6,0.0025,0.009956312499999287,0.007965049999999474,0.9931640625,0.0068359375
7,0.005,0.019825500000000273,0.01586040000000022,0.986572265625,0.013427734375
8,0.0075,0.029607937499999126,0.0236863499999993,0.9798583984375,0.0201416015625
9,0.01,0.03930400000000356,0.03144320000000289,0.9744873046875,0.0255126953125
10,0.025,0.0956875000000007,0.07655000000000067,0.9295654296875,0.0704345703125
11,0.05,0.18299999999999983,0.14639999999999986,0.8602294921875,0.1397705078125
12,0.075,0.2623124999999995,0.20984999999999965,0.8076171875,0.1923828125
13,0.1,0.3339999999999994,0.26719999999999955,0.7601318359375,0.2398681640625
