,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0
1,0.0001,0.0003999300040002929,0.0003199440032002343,0.9996337890625,0.0003662109375
2,0.00025,0.0009995625625012217,0.0007996500500009329,0.998779296875,0.001220703125
3,0.0005,0.0019982505000009088,0.0015986004000007048,0.9990234375,0.0009765625
4,0.00075,0.0029960641874997584,0.0023968513499997846,0.998046875,0.001953125
5,0.001,0.003993003999999578,0.0031944031999996403,0.997314453125,0.002685546875
6,0.0025,0.009956312500000397,0.007965050000000362,0.9925537109375,0.0074462890625
7,0.005,0.01982550000000116,0.015860400000000885,0.9853515625,0.0146484375
8,0.0075,0.02960793750000046,0.02368635000000041,0.977783203125,0.022216796875
9,0.01,0.03930400000000356,0.03144320000000289,0.9677734375,0.0322265625
10,0.025,0.09568750000000081,0.07655000000000067,0.9246826171875,0.0753173828125
11,0.05,0.18300000000000083,0.14640000000000053,0.867431640625,0.132568359375
12,0.075,0.2623125000000004,0.20985000000000031,0.809326171875,0.190673828125
13,0.1,0.3340000000000004,0.2672000000000003,0.758056640625,0.241943359375
